Fecha;Cierre
10/31/2022;10988.15
10/28/2022;11102.45
10/27/2022;10792.67
10/26/2022;10970.99
10/25/2022;11199.12
10/24/2022;10952.61
10/21/2022;10859.72
10/20/2022;10614.84
10/19/2022;10680.51
10/18/2022;10772.4
10/17/2022;10675.8
10/14/2022;10321.39
10/13/2022;10649.15
10/12/2022;10417.1
10/11/2022;10426.19
10/10/2022;10542.1
10/07/2022;10652.4
10/06/2022;11073.31
10/05/2022;11148.64
10/04/2022;11176.41
10/03/2022;10815.43
09/30/2022;10575.62
09/29/2022;10737.51
09/28/2022;11051.64
09/27/2022;10829.5
09/26/2022;10802.92
09/23/2022;10867.93
09/22/2022;11066.81
09/21/2022;11220.19
09/20/2022;11425.05
09/19/2022;11535.02
09/16/2022;11448.4
09/15/2022;11552.36
09/14/2022;11719.68
09/13/2022;11633.57
9/12/2022;12266.41
9/09/2022;12112.31
9/08/2022;11862.13
9/07/2022;11791.9
9/06/2022;11544.91
9/02/2022;11630.86
9/01/2022;11785.13
08/31/2022;11816.2
08/30/2022;11883.14
08/29/2022;12017.67
08/26/2022;12141.71
08/25/2022;12639.27
08/24/2022;12431.53
08/23/2022;12381.3
08/22/2022;12381.57
08/19/2022;12705.22
08/18/2022;12965.34
08/17/2022;12938.12
08/16/2022;13102.55
08/15/2022;13128.05
8/12/2022;13047.19
8/11/2022;12779.91
8/10/2022;12854.8
8/09/2022;12493.93
8/08/2022;12644.46
8/05/2022;12657.55
8/04/2022;12720.58
8/03/2022;12668.16
8/02/2022;12348.76
8/01/2022;12368.98
07/29/2022;12390.69
07/28/2022;12162.59
07/27/2022;12032.42
07/26/2022;11562.57
07/25/2022;11782.67
07/22/2022;11834.11
07/21/2022;12059.61
07/20/2022;11897.65
07/19/2022;11713.15
07/18/2022;11360.05
07/15/2022;11452.42
07/14/2022;11251.19
07/13/2022;11247.58
7/12/2022;11264.73
7/11/2022;11372.6
7/08/2022;11635.31
7/07/2022;11621.35
7/06/2022;11361.85
7/05/2022;11322.24
7/01/2022;11127.85
06/30/2022;11028.74
06/29/2022;11177.89
06/28/2022;11181.54
06/27/2022;11524.55
06/24/2022;11607.62
06/23/2022;11232.19
06/22/2022;11053.08
06/21/2022;11069.3
06/17/2022;10798.35
06/16/2022;10646.1
06/15/2022;11099.15
06/14/2022;10828.35
06/13/2022;10809.23
6/10/2022;11340.02
6/09/2022;11754.23
6/08/2022;12086.27
6/07/2022;12175.23
6/06/2022;12061.37
6/03/2022;12012.73
6/02/2022;12316.9
6/01/2022;11994.46
05/31/2022;12081.39
05/27/2022;12131.13
05/26/2022;11740.65
05/25/2022;11434.74
05/24/2022;11264.45
05/23/2022;11535.27
05/20/2022;11354.62
05/19/2022;11388.5
05/18/2022;11418.15
05/17/2022;11984.52
05/16/2022;11662.79
05/13/2022;11805
5/12/2022;11370.96
5/11/2022;11364.24
5/10/2022;11737.67
5/09/2022;11623.25
5/06/2022;12144.66
5/05/2022;12317.69
5/04/2022;12964.86
5/03/2022;12563.76
5/02/2022;12536.02
04/29/2022;12334.64
04/28/2022;12871.53
04/27/2022;12488.93
04/26/2022;12490.74
04/25/2022;13004.85
04/22/2022;12839.29
04/21/2022;13174.65
04/20/2022;13453.07
04/19/2022;13619.66
04/18/2022;13332.36
04/14/2022;13351.08
04/13/2022;13643.59
